,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,META,UNH
2023-05-16 0:00:00,"173,4126298","307,9675789","110,8907636","166,0100076","117,7209361","118,0159576","290,6746377","239,5072204","488,8739789"
2023-05-17 0:00:00,"171,3933274","307,0893109","111,331828","166,8621904","115,8086322","116,2435191","289,2166346","237,64461","486,5779628"
2023-05-18 0:00:00,"172,7876183","310,0228196","110,8699309","165,4195035","115,4751211","115,95346","289,4221373","238,7294721","488,8857217"
2023-05-19 0:00:00,"173,4249904","309,1433139","111,8421479","166,6892488","116,7943895","117,1239417","289,3937585","239,5190194","486,4652454"
2023-05-22 0:00:00,"172,1039354","307,9376213","111,0406758","165,6934939","115,4803235","115,9293307","288,6165774","236,4536296","489,0518103"
2023-05-23 0:00:00,"172,6205855","310,3743717","111,6807551","166,2987628","114,7036362","115,1856374","290,0035225","238,828641","486,5220633"
2023-05-24 0:00:00,"173,5622951","308,7667366","111,0639036","165,3615862","116,3001103","116,6236465","290,0865547","239,0065295","488,945705"
2023-05-25 0:00:00,"172,0907264","308,154488","111,7318131","166,3880535","115,0313979","115,4773367","289,9463726","236,5175102","486,4911802"
2023-05-26 0:00:00,"172,8954326","310,5827614","111,0327287","165,3482493","114,7508511","115,2322987","289,6999671","238,2843494","488,9513431"
2023-05-30 0:00:00,"173,933979","309,6361893","111,7565284","166,3082057","116,3783747","116,7023682","290,0030879","238,9704779","486,4782335"
2023-05-31 0:00:00,"172,3665431","308,6642345","111,0689824","165,3801937","115,2327234","115,677287","289,6077579","236,2718975","488,9558641"
2023-06-01 0:00:00,"173,2263896","311,1965033","111,74268","166,3058255","114,7965486","115,2751079","290,0974333","238,4661169","486,4882332"
2023-06-02 0:00:00,"174,0681492","309,9235503","111,0618769","165,3343076","116,4595614","116,7820567","289,8948169","238,9356324","488,9531318"
2023-06-05 0:00:00,"172,6820172","309,0925099","111,7516239","166,3080026","115,2423038","115,6868896","290,091259","236,4184123","486,4856516"
2023-06-06 0:00:00,"173,4273076","311,6407988","111,0597836","165,3438644","114,8538746","115,3341849","289,79319","238,4092148","488,9538395"
2023-06-07 0:00:00,"174,4435286","310,4659986","111,7498219","166,2966337","116,4607143","116,7841373","290,1042537","239,0110092","486,4848661"
2023-06-08 0:00:00,"172,9324508","309,6600911","111,0642355","165,3428361","115,256863","115,7020469","289,7903123","236,3794396","488,9534314"
2023-06-09 0:00:00,"173,7584715","312,1319547","111,7499772","166,3008172","114,8284233","115,3082979","290,1181621","238,4684642","486,4855286"
2023-06-12 0:00:00,"174,6859175","310,9771308","111,0624132","165,3386873","116,4566187","116,7801364","289,8442948","238,9820493","488,9535282"
2023-06-13 0:00:00,"173,2289887","310,1021559","111,750767","166,2989593","115,2399977","115,6850554","290,1185953","236,4078324","486,4853491"
2023-06-14 0:00:00,"174,0339845","312,6528932","111,0627497","165,3406608","114,8310562","115,3112356","289,8199309","238,4366463","488,9535814"
2023-06-15 0:00:00,"174,9854676","311,4618991","111,7502182","166,2983027","116,4492505","116,772568","290,1209792","238,996903","486,4853394"
2023-06-16 0:00:00,"173,5272826","310,640408","111,0630299","165,3397448","115,2428628","115,6879083","289,8226772","236,3878172","488,9535208"
2023-06-20 0:00:00,"174,3198393","313,1475954","111,7504826","166,2989377","114,8267412","115,3066401","290,1229668","238,4501169","486,4853623"
2023-06-21 0:00:00,"175,2813582","311,973626","111,062805","165,3396768","116,4524727","116,7758518","289,8323919","238,9847388","488,9535406"
2023-06-22 0:00:00,"173,8050915","311,1317974","111,7504694","166,2984875","115,2416505","115,6866221","290,1234588","236,3969447","486,4853519"
2023-06-23 0:00:00,"174,6195199","313,6501259","111,0629094","165,3398526","114,829834","115,3098558","289,8269174","238,4415318","488,9535421"
2023-06-26 0:00:00,"175,5647086","312,4795363","111,750415","166,2985698","116,4516827","116,7750007","290,1237879","238,9914315","486,4853551"
2023-06-27 0:00:00,"174,1061915","311,6365959","111,062894","165,3396904","115,243219","115,6882515","289,8281401","236,3918666","488,953538"
2023-06-28 0:00:00,"174,90463","314,1607737","111,7504614","166,298597","114,828891","115,3088601","290,1240803","238,4466436","486,4853546"
