,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,META,UNH
2023-05-16 0:00:00,"170,7713429","310,1213741","111,1417211","164,0289002","114,5396745","115,884915","286,3290005","238,8385008","490,932377"
2023-05-17 0:00:00,"170,784832","307,1688054","112,1272515","163,9736264","113,902455","115,2165518","286,3628046","239,445901","489,0489497"
2023-05-18 0:00:00,"172,3794333","308,6627079","111,8592096","161,93118","113,450145","115,2832198","286,11681","239,7311023","489,1515039"
2023-05-19 0:00:00,"172,3309244","309,1897365","111,7880599","162,7408188","113,9243726","116,1080043","285,6413217","239,2324004","487,8882388"
2023-05-22 0:00:00,"171,4830714","308,4050751","111,2906573","163,1025595","114,5206217","116,163326","287,0845981","239,7505008","488,5387717"
2023-05-23 0:00:00,"170,6630431","308,4591881","111,6405802","163,6012729","115,0235466","116,2900015","286,4242151","239,5927005","490,7084174"
2023-05-24 0:00:00,"172,0556714","309,3886457","111,4716565","163,9870198","115,6750729","116,4777782","286,5695703","239,8778","488,3276338"
2023-05-25 0:00:00,"171,6661478","308,9549598","111,7326504","163,0937733","115,442511","116,387016","286,6367047","239,9899992","490,6665598"
2023-05-26 0:00:00,"170,542607","308,528413","111,4859254","162,793166","115,8004804","116,2924002","286,5704245","240,4617996","487,6267384"
2023-05-30 0:00:00,"170,9334396","309,1697682","111,5061914","162,5847798","115,3488953","115,9992973","286,5769919","241,8140981","491,0277808"
2023-05-31 0:00:00,"172,25502","309,1640153","111,5011254","163,0003661","115,4156152","116,1120741","286,3714044","242,1613989","489,3826744"
2023-06-01 0:00:00,"171,750083","308,6753835","111,5365994","163,1038664","115,4152454","116,382901","286,3714044","240,7920001","489,2231497"
2023-06-02 0:00:00,"170,7186911","308,9587372","111,5380154","163,0979998","115,3996153","116,3558044","286,3714044","240,7526982","487,7267673"
2023-06-05 0:00:00,"171,5822313","309,1646044","111,5562933","163,190873","115,5166853","116,4453393","286,3714044","240,3129976","488,8743221"
2023-06-06 0:00:00,"171,9143314","308,9768768","111,5562933","163,0530931","115,4768604","116,1022293","286,3714044","241,045797","490,400015"
2023-06-07 0:00:00,"171,5826836","308,9846573","111,5304133","162,8824197","115,4367104","116,07232","286,3714044","241,1545975","488,1304375"
2023-06-08 0:00:00,"170,3003912","309,0761619","111,5197334","162,7283131","115,4824804","115,9829451","286,3714044","241,2753975","490,5311327"
2023-06-09 0:00:00,"170,6630003","309,0229804","111,5456134","162,4434595","115,4910704","116,5437788","286,3714044","241,3875981","487,8732283"
2023-06-12 0:00:00,"171,9575488","309,0318511","111,5562933","162,4183795","115,4813304","116,2902233","286,3714044","241,0394975","490,9167392"
2023-06-13 0:00:00,"171,7646571","309,0497692","111,5304133","162,5419663","115,4813304","116,2726353","286,3714044","240,7514975","489,0949943"
2023-06-14 0:00:00,"170,7605128","309,035925","111,5197334","162,9017396","115,4666854","116,1140503","286,3714044","240,9164975","488,8385919"
2023-06-15 0:00:00,"171,6044603","309,0523902","111,5456134","163,0509665","115,4666854","116,5336249","286,3714044","241,1200972","488,4036139"
2023-06-16 0:00:00,"171,9790413","309,0523902","111,5562933","163,0198264","115,4666854","116,1674565","286,3714044","241,3060974","488,8231285"
2023-06-20 0:00:00,"171,4321625","309,0523902","111,5304133","162,812933","115,4666854","116,2089752","286,3714044","241,1025975","489,72341"
2023-06-21 0:00:00,"169,8645094","309,0523902","111,5197334","162,6853598","115,4813304","116,0195993","286,3714044","241,0652974","488,0559615"
2023-06-22 0:00:00,"168,8406676","309,0523902","111,5456134","162,4806195","115,4813304","116,5355248","286,3714044","240,8889975","490,2707487"
2023-06-23 0:00:00,"167,2130229","309,0523902","111,5562933","162,4445196","115,4813304","116,1707733","286,3714044","241,0892973","489,1741087"
2023-06-26 0:00:00,"168,0144315","309,0523902","111,5304133","162,4441263","115,4813304","116,2581822","286,3714044","241,1419974","488,8000563"
2023-06-27 0:00:00,"167,439213","309,0523902","111,5197334","162,9017996","115,4666854","115,9960314","286,3714044","241,1826973","488,5992065"
2023-06-28 0:00:00,"168,3808492","309,0523902","111,5456134","163,1397465","115,4666854","116,5639448","286,3714044","241,0545976","488,6790083"
