,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,META,UNH
2023-05-23 0:00:00,"174,6664374","321,7506515","114,5613843","188,5089836","123,6907065","124,4812611","311,8262206","250,1749493","482,3365298"
2023-05-24 0:00:00,"174,5657188","320,4464065","115,2374422","189,0013329","123,6642087","124,3591658","314,3324682","246,7940411","480,533076"
2023-05-25 0:00:00,"174,1611506","322,3100076","114,8152907","188,7732939","124,1127773","124,9301662","314,3279157","247,6763963","482,1462241"
2023-05-26 0:00:00,"175,5911687","323,0829258","115,547409","190,6400672","123,5504664","124,3620033","318,7762587","249,1385579","480,7943454"
2023-05-30 0:00:00,"175,5584179","322,4334671","115,080817","189,1956163","122,8619324","123,4842473","316,4351907","245,7579094","481,7699248"
2023-05-31 0:00:00,"174,8517977","323,67966","115,371736","191,1884543","124,0288137","124,8559173","317,5880861","247,0367583","480,6190625"
2023-06-01 0:00:00,"175,7394524","324,5688127","114,8607395","190,1236763","123,0391783","123,8168475","316,1198494","248,6119596","481,9532272"
2023-06-02 0:00:00,"175,5913467","322,8799954","115,3764465","191,3465541","122,8435013","123,4778682","318,2614752","245,4313678","480,6539111"
2023-06-05 0:00:00,"175,0217057","324,4937582","114,8905547","190,0294972","123,7836212","124,5803455","316,6505406","246,7850167","481,9293318"
2023-06-06 0:00:00,"176,1469759","324,9723712","115,3833417","191,528094","123,1550544","123,9370763","319,0393091","248,5638957","480,6846279"
2023-06-07 0:00:00,"176,0857068","323,7743221","114,9208106","190,1182553","122,7888352","123,4070912","317,0525204","245,4646793","481,9224657"
2023-06-08 0:00:00,"175,4190163","325,1355681","115,3854069","191,5187952","123,9149316","124,723792","318,7795297","246,9052058","480,663131"
2023-06-09 0:00:00,"176,4337873","325,7162734","114,8970611","190,1939676","123,1292096","123,9060569","316,9590263","248,6472583","481,9278715"
2023-06-12 0:00:00,"176,2952316","324,3187566","115,3810375","191,5633504","122,8679916","123,4958003","318,9429972","245,538497","480,667589"
2023-06-13 0:00:00,"175,6820406","325,6571716","114,9021062","190,1755488","123,8896611","124,6937363","317,0750979","246,9319133","481,9253918"
2023-06-14 0:00:00,"176,7397627","326,2689524","115,3803728","191,5726161","123,1756782","123,9583295","319,0744884","248,6748518","480,6692363"
2023-06-15 0:00:00,"176,6485236","324,8458251","114,9036152","190,1934691","122,8444982","123,4690572","317,1497838","245,5440125","481,9264574"
2023-06-16 0:00:00,"176,0047416","326,2783261","115,3824598","191,5693486","123,9121187","124,7203371","319,0210094","246,9401326","480,6678528"
2023-06-20 0:00:00,"177,0398989","326,7927959","114,901846","190,1955608","123,1529342","123,9329647","317,1253706","248,6663249","481,9262964"
2023-06-21 0:00:00,"176,9215942","325,4322793","115,3812388","191,5767688","122,8555303","123,4822932","319,058562","245,538773","480,6682422"
2023-06-22 0:00:00,"176,2889931","326,773064","114,9024716","190,1945699","123,8964969","124,702429","317,1512577","246,9288211","481,9261272"
2023-06-23 0:00:00,"177,3374538","327,3520818","115,3813007","191,5756918","123,1611982","123,9426313","319,0798597","248,6629472","480,6682447"
2023-06-26 0:00:00,"177,2303306","325,9488394","114,9023518","190,1969653","122,8462302","123,471507","317,1646109","245,5340367","481,9262659"
2023-06-27 0:00:00,"176,5954849","327,3313797","115,3815832","191,5759273","123,9026332","124,7096249","319,0694049","246,9293679","480,6681956"
2023-06-28 0:00:00,"177,6339309","327,8872","114,9023312","190,1964028","123,1555479","123,9359858","317,1587356","248,6613123","481,9262258"
2023-06-29 0:00:00,"177,5229197","326,4902333","115,3813886","191,5766954","122,8507997","123,4768107","319,0776592","245,5351937","480,6682218"
2023-06-30 0:00:00,"176,8863587","327,8670678","114,9023654","190,1966449","123,8993442","124,7056797","317,1645562","246,9288652","481,9262207"
2023-07-03 0:00:00,"177,9314032","328,4170917","115,3814342","191,5763798","123,1588206","123,9398095","319,0809224","248,6627182","480,6682132"
2023-07-05 0:00:00,"177,8212125","327,031324","114,9023329","190,196816","122,8486533","123,4742494","317,1668118","245,5352483","481,92623"
2023-07-06 0:00:00,"177,1865346","328,3979233","115,3814497","191,5765368","123,9014181","124,7081417","319,0789762","246,9298643","480,6682141"
