Symbol,Description,Sector
AAPL,Apple Inc,Information Technology
MSFT,Microsoft Corp,Information Technology
AMZN,Amazon.Com Inc.,Consumer Discretionary
TSLA,Tesla Inc,Consumer Discretionary
BRK.B,Berkshire Hathaway Inc. Class B,Financials
META,"Meta Platforms, Inc.",Communication Services
UNH,Unitedhealth Group Inc,Health Care
V,Visa Inc Class A,Information Technology
NVDA,Nvidia Corp,Information Technology
JNJ,Johnson & Johnson,Health Care
WMT,Walmart Stores Inc,Consumer Staples
XOM,Exxon Mobil Corp,Energy
JPM,JP Morgan Chase & Co,Financials
PG,Procter & Gamble,Consumer Staples
MA,Mastercard Inc Class A,Information Technology
HD,Home Depot Inc,Consumer Discretionary
CVX,Chevron Corp,Energy
LLY,Eli Lilly,Health Care
BAC,Bank of America Corp,Financials
KO,Coca-Cola,Consumer Staples
PFE,Pfizer Inc,Health Care
ABBV,Abbvie Inc,Health Care
PEP,Pepsico Inc,Consumer Staples
COST,Costco Wholesale Corp,Consumer Staples
TMO,Thermo Fisher Scientific Inc,Health Care
MRK,Merck & Co Inc,Health Care
DIS,Walt Disney,Communication Services
AVGO,Broadcom Inc.,Information Technology
DHR,Danaher Corp,Health Care
ACN,Accenture Plc Class A,Information Technology
ORCL,Oracle Corp,Information Technology
ADBE,Adobe Inc,Information Technology
ABT,Abbott Laboratories,Health Care
MCD,Mcdonalds Corp,Consumer Discretionary
CSCO,Cisco Systems Inc,Information Technology
VZ,Verizon Communications Inc,Communication Services
CRM,Salesforce.Com Inc,Information Technology
NKE,Nike Inc Class B,Consumer Discretionary
TMUS,T Mobile US Inc,Communication Services
UPS,United Parcel Service Inc Class B,Industrials
CMCSA,Comcast A Corp,Communication Services
NEE,Nextera Energy Inc,Utilities
WFC,Wells Fargo,Financials
QCOM,Qualcomm Inc,Information Technology
TXN,Texas Instrument Inc,Information Technology
AMD,Advanced Micro Devices Inc,Information Technology
BMY,Bristol Myers Squibb,Health Care
PM,Philip Morris International Inc,Consumer Staples
MS,Morgan Stanley,Financials
LIN,Linde Plc,Materials
UNP,Union Pacific Corp,Industrials
INTC,Intel Corporation Corp,Information Technology
SCHW,Charles Schwab Corporation,Financials
RTX,Raytheon Technologies Corporation,Industrials
CVS,CVS Health Corp,Health Care
HON,Honeywell International Inc,Industrials
LOW,Lowes Companies Inc,Consumer Discretionary
AMGN,Amgen Inc,Health Care
INTU,Intuit Inc,Information Technology
