,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,META,UNH
2023-05-23 0:00:00,"173,751136","324,3468773","115,2672185","193,2487648","125,0594919","125,002766","314,0346896","250,2449228","479,4449826"
2023-05-24 0:00:00,"173,2795043","327,0572766","117,0167832","193,8123131","125,4501025","125,1126713","319,4671402","253,0455632","480,7492171"
2023-05-25 0:00:00,"173,5513643","326,6006043","117,2095809","193,8254976","126,3101506","124,8842383","315,1695563","253,4887032","478,9219946"
2023-05-26 0:00:00,"173,248766","327,7267477","116,4100261","191,1711471","126,5190002","124,5200821","319,7216794","254,0641832","479,3230635"
2023-05-30 0:00:00,"173,7491904","330,7154555","116,0030778","192,5577444","126,5221561","124,928292","317,4894916","254,8343625","480,1041876"
2023-05-31 0:00:00,"173,5779234","331,7062147","116,3796464","191,2153207","126,4974552","124,4205293","318,4652829","256,0148636","479,2650915"
2023-06-01 0:00:00,"172,8891954","332,1433663","117,1402953","194,5108146","126,5247978","124,8188058","317,9398413","261,4906651","479,4292286"
2023-06-02 0:00:00,"173,4451167","333,0964391","116,7709541","191,5724672","126,6476032","124,4490794","317,7224457","263,3689207","479,6585662"
2023-06-05 0:00:00,"173,2030105","333,0088787","116,3627684","193,8967337","126,926284","124,795927","318,9227988","264,5263831","479,7678731"
2023-06-06 0:00:00,"173,7902135","330,3183347","116,4720609","189,795228","126,959197","124,4490794","317,632442","267,8226622","479,8797422"
2023-06-07 0:00:00,"173,4571008","330,2043905","116,6464431","195,5359161","126,8794771","124,8427221","319,7256503","266,9882208","479,3534911"
2023-06-08 0:00:00,"173,3595363","329,1089262","116,6202106","193,6954291","126,8270333","124,4490794","317,5376349","269,8000447","479,5461846"
2023-06-09 0:00:00,"173,2116086","329,4892731","116,4724594","197,8650319","126,8371315","124,8427221","317,8734604","272,0792201","479,8428897"
2023-06-12 0:00:00,"173,5164091","330,9686867","116,4272966","197,209025","127,0217174","124,4490794","319,4948502","270,8566321","479,8829523"
2023-06-13 0:00:00,"173,6661207","330,3787137","116,5876142","199,5662813","127,3464278","124,8427221","317,5664096","270,8583538","479,2928483"
2023-06-14 0:00:00,"173,1861367","330,7155563","116,5225949","203,0931182","128,3400485","124,4490794","318,9068121","271,1242255","479,2717379"
2023-06-15 0:00:00,"173,220098","330,8280169","116,3979544","202,4022486","128,9793746","124,8427221","317,2507007","270,3463074","479,4916908"
2023-06-16 0:00:00,"173,3173875","330,299781","116,5120887","203,3683747","129,1373157","124,4490794","319,8283838","269,3758943","479,8808725"
2023-06-20 0:00:00,"173,2930245","330,881311","116,5380287","204,4476156","128,7782873","124,8427221","318,6541235","269,3362712","479,5826657"
2023-06-21 0:00:00,"174,0020006","330,5350269","116,5070074","205,4091197","129,7039363","124,4490794","317,5795935","269,504092","479,5127686"
2023-06-22 0:00:00,"173,2794433","330,7744786","116,411713","205,0956498","128,9918666","124,8427221","319,4948502","270,3116318","479,9554579"
2023-06-23 0:00:00,"173,4770798","330,9197081","116,5906717","204,9490651","129,6033682","124,4490794","317,4324677","270,4840556","479,3146115"
2023-06-26 0:00:00,"173,2618724","330,4623683","116,5178941","205,8743598","129,311177","124,8427221","320,9848532","270,6001949","479,5504576"
2023-06-27 0:00:00,"173,1667933","330,8438721","116,524603","205,8344811","129,3667648","124,4490794","319,2021051","270,2339749","479,9169455"
2023-06-28 0:00:00,"174,188878","330,7765665","116,40841","205,5007881","129,8016401","124,8427221","317,4041879","269,6179746","479,2762708"
2023-06-29 0:00:00,"173,122533","330,7538663","116,6224467","205,5903729","129,0415816","124,4490794","320,4447375","269,2652903","479,1350485"
2023-06-30 0:00:00,"173,453387","330,8584105","116,5061674","205,4619423","130,2003793","124,8427221","316,3413159","269,0296511","479,6016572"
2023-07-03 0:00:00,"172,9563421","330,7332378","116,524191","205,6553741","129,6459196","124,4490794","322,688085","269,5029116","479,8335511"
2023-07-05 0:00:00,"173,1986814","330,8169382","116,406624","205,4827739","128,2403792","124,8427221","319,7501584","269,8704909","479,7555336"
2023-07-06 0:00:00,"174,20315","330,7940377","116,6163442","205,8039327","129,5453075","124,4490794","315,8969775","270,2755314","479,471281"
